state,state_abbrev,patient_discharge_categories,antpostfusion_453-455,backneck_518-520,bariatric_619-621,bilateral_major_lower_extremity_461-462,hand_wrist_513-514,hip_femur_not_joint_480-482,hip_knee_replace_469-470,hip_knee_revise_466-468,upper_joint_limb_reattach_483-484,knee_other_485-489,lower_extremity_humer_492-494,other_musc_515-517,shoulder_elbow_forearm_510-512,major_joint_shoulder_elbow_507-508,spinal_fusion_curve_malig_infect_456-458,spinal_fusion_except_cervical_459-460,spinal_neuro_28-30,coronary_bypass_234-236,cervical_spinal_fusion_471-473
Florida,FL,45-64,46947.19595,11954.3475,12900.54776,21716.06064,8892.853729,15745.56439,14192.76598,20565.46295,16204.21529,13936.1161,15129.47416,17349.45026,11758.8766,11376.6105,44389.56537,24893.02639,24834.0184,33440.40376,15721.93641
Florida,FL,Male,47850.48634,12232.59038,13590.64452,21458.16105,8338.692541,15937.70021,14256.536,21182.54552,15960.36942,14606.80976,15025.79958,17184.56767,11392.49602,11422.24748,49764.14664,25175.98766,25946.72114,32821.05508,17009.23422
Florida,FL,Female,47886.90844,12073.16191,12384.70312,21039.35872,8892.4879,14457.1227,13903.54372,20598.90012,16475.07841,12903.66328,13726.25184,14267.20687,10740.92951,12253.03094,50799.52367,24234.8873,20914.37969,33793.60509,15400.99695
Hawaii,HI,18-44,73827.00199,23072.79389,12125.81722,28527.40212,9496.264391,23209.253,16195.16132,28180.08698,20377.06713,12670.53001,19027.91026,22466.35747,13525.01398,,58908.53372,40225.27906,29106.0267,42168.2,26738.18786
Hawaii,HI,45-64,66726.51484,23072.79389,12481.00032,27395.85665,13936.32456,23996.80218,17469.99439,27219.38009,19553.79027,19164.57984,19701.64035,19852.45702,15876.3359,,72516.95929,36644.18303,34145.80476,39872.00391,23393.91487
Hawaii,HI,Male,74732.11851,24228.38167,13396.32032,26350.18296,10740.04045,22502.82523,17560.05949,30087.09123,21324.24638,18792.8036,19513.52324,19440.15498,13539.95522,,54742.34977,34186.15363,41115.59881,42212.53961,24974.16491
Hawaii,HI,Female,72861.54437,21281.63281,12061.83322,30202.18609,11464.8036,20006.18273,17454.83665,26629.53213,19410.9443,17826.94601,16857.56014,20898.14545,13834.97773,,61433.49369,35863.09154,29574.81646,42018.48863,22919.32067
Illinois,IL,18-44,49968.42269,13223.50701,14852.3792,29275.91892,10135.04081,21181.81109,17525.22379,24549.48279,18935.27283,16140.92792,16664.33624,22056.62163,13669.46356,15951.32289,68639.07178,32064.59022,27362.19008,40610.74741,17886.32988
Illinois,IL,45-64,60582.69313,13473.94988,16378.74458,27197.37883,10142.06597,19116.70662,16741.8387,23935.93055,18990.77721,14409.67793,17263.64878,20588.57442,13689.59309,13097.07278,65507.82167,32951.38167,26024.72369,39903.70011,20588.05398
Illinois,IL,Male,60987.98997,13289.74735,16922.33124,28042.70706,10283.5766,18559.30928,17036.89361,24704.24748,18912.69645,15289.90205,17077.49379,21935.61987,13268.15109,13240.44122,67393.81553,33110.8879,29902.7167,39806.78243,21791.68172
Illinois,IL,Female,61504.41498,13378.63728,15375.01844,27678.63033,9443.420979,17675.13689,16989.57378,24521.76982,19718.72905,14853.25424,15931.44409,18225.08708,13266.10428,15405.02822,63343.21929,32520.20238,23813.76933,41582.88274,20448.47281
Indiana,IN,18-44,48647.25256,14159.68248,15644.60722,21995.02829,9530.245899,19829.8624,19369.78147,24070.22105,17489.436,16119.87274,16937.44655,21392.00081,15155.01774,15734.69974,67853.95496,33310.49447,23073.82901,38737.05754,21260.56966
Indiana,IN,45-64,49926.53488,13234.50055,16171.67831,24719.49237,10351.25841,18213.94262,18436.80664,24965.86666,19589.95277,14853.08926,16975.11197,19502.02691,15713.77617,15716.67041,62924.79445,34441.28776,25835.52585,37499.32163,21096.00133
Indiana,IN,Male,47030.50758,12985.55636,17250.88551,24334.92516,10105.62368,17777.85651,18296.56728,24590.28709,19693.9193,15216.72106,16950.57162,19957.74282,14462.02898,14797.22445,60600.06593,33819.95234,28296.20407,37287.46285,21581.3934
Indiana,IN,Female,51478.76635,13112.56089,15665.09328,22960.42156,9374.491815,16837.6684,18328.19713,25164.10508,20400.45646,14516.6653,15855.2438,17248.41727,14742.95876,16437.80621,66635.48424,33900.56381,21177.2888,38351.67718,21273.67513
Iowa,IA,18-44,36742.51362,11419.43762,17803.6298,24920.00078,8482.131331,16017.62599,20981.86081,20309.2297,17340.46454,11268.64857,12419.68258,13647.3199,11529.90969,13373.14683,63186.76264,24633.01588,19511.65236,29254.05611,15741.82092
Iowa,IA,45-64,44628.11459,10611.91944,18044.3933,24299.85851,8434.512278,17079.56494,16564.71154,23798.76416,16687.83033,14651.37885,13770.28037,17277.56671,11923.14601,13373.14683,52995.38432,24885.07268,21105.19224,28472.31187,16402.11735
Iowa,IA,Male,46003.46369,9996.230072,19184.93652,25153.17447,7534.78959,15475.80527,17144.50715,25524.40273,16755.78011,13054.02325,13619.99073,15404.71359,11561.13385,12313.08194,48784.88206,24625.0612,25852.85079,29295.77113,17545.58049
Iowa,IA,Female,43794.97047,11043.61957,17622.98933,24721.5042,9562.65492,14809.77404,16743.25745,23859.02968,17755.85228,14324.82395,12714.01588,14672.68599,11022.0942,14300.70362,48681.84804,24934.96517,24753.34,29170.35955,16572.12543
Kansas,KS,18-44,31102.96913,9840.281833,10053.5715,19299.50505,9711.667735,16345.28365,14644.45532,18367.93943,16714.69922,16096.16799,12654.35784,14981.31957,13377.6864,,34444.18092,22917.18215,18883.60895,32798.84822,12733.48293
Kansas,KS,45-64,33202.95296,10729.83261,10228.06097,20442.22135,8831.969777,15104.9151,14630.15512,20408.66721,16589.04543,12995.10492,13437.85374,16322.84835,11514.91434,,39253.22928,24647.09387,20874.60639,34506.03688,14467.33644
Kansas,KS,Male,34289.07805,10924.69843,10028.24374,20264.38479,8699.897641,14479.65377,13849.25619,20839.30443,16539.30574,13133.75641,13870.11127,15428.42631,11772.58358,,36532.78177,24925.40376,25552.61089,35091.70118,15833.61894
Kansas,KS,Female,33188.84916,9591.289321,10035.67217,18486.16092,10799.93672,15666.04978,14960.02224,20765.77502,16820.93518,12981.5511,12406.7068,12813.57962,10648.84638,,38169.49094,23902.33497,17449.75992,35479.63861,13740.61081
Kentucky,KY,18-44,42121.98131,9925.360643,10890.30093,50098.38242,8297.107382,19078.42662,19853.78581,23798.12135,24729.77552,13499.59205,15387.08225,17307.06607,12924.22046,13192.71799,53858.38047,27836.27635,19944.14985,31915.50539,15977.12833
Kentucky,KY,45-64,47347.38046,11609.79942,11124.75325,32249.927,8864.031138,16625.83109,17826.87149,25899.92083,22154.99977,13835.66507,15391.27405,18628.8186,13421.6417,13979.94324,53756.32102,28430.40424,23274.07861,30702.52076,17122.68023
Kentucky,KY,Male,48118.33234,11271.1346,11769.70143,31890.95786,8482.169468,17385.00748,18352.88841,26205.85391,21663.38549,12778.91546,15974.95198,19515.63641,13519.56726,11968.88093,58958.02453,29444.30592,22849.99387,31626.06322,17902.62198
Kentucky,KY,Female,51020.65818,11362.64222,10942.76817,30520.8995,9359.092157,15803.92406,17456.03242,26152.31991,22418.88595,13203.57615,14584.44434,16838.25126,12479.76258,15902.64291,57919.42736,28338.86977,19638.44623,30563.46779,16687.74586
Maine,ME,18-44,44753.91691,10725.22402,12608.49109,26806.94765,15304.58571,17451.44829,17140.25416,22805.85728,19096.45449,11938.54807,14839.14207,16221.54487,13199.58808,,32137.19309,22417.54006,18783.52614,31520.19071,10604.53744
Maine,ME,45-64,44753.91691,11216.49608,12810.04553,25842.85049,13267.79576,16436.70271,15888.01593,23034.12881,18971.39623,15445.57259,15824.00018,17190.35064,12784.65141,,36833.88014,19435.69363,19476.75337,36120.24992,11929.27073
Maine,ME,Male,44753.91691,10222.82627,13403.37114,27861.06401,13182.83432,16532.78416,16444.99175,24526.19619,17927.23853,14555.7533,16069.59949,16883.27982,13782.41434,,30115.1352,20908.37697,22670.48796,35808.60369,12527.98089
