state,state_abbrev,patient_discharge_categories,total_pop_priv_insured,his_private_insurance_discharges,percent_discharges_priv_of_ins_pop,percent_discharges_private,state_pop_numbers,total_number_discharges,percent_discharges,discharges_antpostfusion_453-455,discharges_backneck_518-520,discharges_bariatric_619-621,discharges_bilateral_major_lower_extremity_461-462,discharges_hand_wrist_513-514,discharges_hip_femur_not_joint_480-482,discharges_hip_knee_replace_469-470,discharges_hip_knee_revise_466-468,discharges_upper_joint_limb_reattach_483-484,discharges_knee_other_485-489,discharges_lower_extremity_humer_492-494,discharges_other_musc_515-517,discharges_shoulder_elbow_forearm_510-512,discharges_major_joint_shoulder_elbow_507-508,discharges_spinal_fusion_curve_malig_infect_456-458,discharges_spinal_fusion_except_cervical_459-460,discharges_spinal_neuro_28-30,discharges_coronary_bypass_234-236,discharges_cervical_spinal_fusion_471-473
Maine,ME,18-44,683000,35974,5.267,25.81,420720,27898,20.01621501,0,0,328,0,17,57,126,14,0,39,163,24,27,0,0,81,40,21,95
Maine,ME,45-64,683000,35974,5.267,25.81,406885,34899,25.03928195,0,31,393,42,12,173,2460,206,127,68,326,38,44,0,11,308,41,242,214
Maine,ME,Male,683000,35974,5.267,25.81,400570,61932,44.43487806,11,47,149,30,26,403,2525,211,211,85,349,83,49,0,28,299,66,471,213
Maine,ME,Female,683000,35974,5.267,25.81,427035,77438,55.56009959,11,52,608,36,12,894,3902,290,296,102,484,107,84,0,45,419,54,138,214
Maryland,MD,18-44,3920500,207166,5.284,32.4,2160485,163256,25.53240737,27,88,1549,21,101,286,464,68,27,117,887,165,146,20,73,706,359,49,495
Maryland,MD,45-64,3920500,207166,5.284,32.4,1643118,169041,26.43715192,173,198,1394,278,89,553,7896,746,371,351,1109,212,161,19,210,2267,340,785,1579
Maryland,MD,Male,3920500,207166,5.284,32.4,1815143,271513,42.46325111,167,297,610,235,172,1347,7283,681,515,358,1393,409,223,37,250,2008,405,1291,1297
Maryland,MD,Female,3920500,207166,5.284,32.4,1988460,367854,57.5304931,179,210,2482,300,63,2593,11629,980,805,419,1715,526,279,23,408,2708,567,398,1519
Massachusetts,MA,18-44,3902100,257686,6.604,33.09,2466794,176371,22.64703088,110,156,2656,17,83,350,688,83,33,246,1047,180,141,17,59,531,285,58,552
Massachusetts,MA,45-64,3902100,257686,6.604,33.09,1871909,196198,25.19292947,345,363,2229,186,98,742,11087,850,514,376,1480,256,178,37,132,1799,317,833,1840
Massachusetts,MA,Male,3902100,257686,6.604,33.09,2074499,344234,44.20158658,303,574,1174,171,156,1730,11006,875,663,490,1739,514,239,46,243,1855,488,1654,1624
Massachusetts,MA,Female,3902100,257686,6.604,33.09,2264204,434503,55.79263517,352,397,3980,170,78,3910,16143,1114,933,481,2191,610,347,34,393,2274,510,421,1495
Michigan,MI,18-44,5733000,370915,6.470,30.59,3393903,270835,22.33747832,97,270,3157,20,147,572,1103,149,58,277,1606,277,175,16,94,1493,314,72,1149
Michigan,MI,45-64,5733000,370915,6.470,30.59,2762132,318551,26.27291914,302,542,3183,469,139,1245,18436,1404,1051,594,2270,517,287,42,297,4289,388,1347,3871
