,proc_id,cpt_1,cpt_2,cpt_3,cpt_4,cpt_5,cpt_6,cpt_7,total_cost - mean,patient_cost - mean,Episode Count,carrum_price_1,carrum_price_2,carrum_price_3,carrum_price_4,carrum_price_5,carrum_price_6,carrum_price_7,highest_cost,id,7th-largest,6th-largest,5th-largest,4th-largest,3nd-largest,2nd-largest,largest,final_cost,estimated_paid_amounts
150,150,29807,29826,29823,29822,-999,-999,-999,10884.56357,176.4223573,1,11700,10125,9850,9850,,,,11700,150,9850,9850,10125,11700,,,,21687.5,10708.14121
151,151,29807,29826,-999,-999,-999,-999,-999,10884.56357,176.4223573,7,11700,10125,,,,,,11700,151,10125,11700,,,,,,16762.5,10708.14121
152,152,29807,-999,-999,-999,-999,-999,-999,10884.56357,176.4223573,6,11700,,,,,,,11700,152,11700,,,,,,,11700,10708.14121
153,153,29822,29823,-999,-999,-999,-999,-999,10884.56357,176.4223573,5,9850,9850,,,,,,9850,153,9850,9850,,,,,,14775,10708.14121
154,154,29822,29826,23410,-999,-999,-999,-999,10884.56357,176.4223573,1,9850,10125,10225,,,,,10225,154,9850,10125,10225,,,,,17750,10708.14121
155,155,29822,29826,23412,29823,-999,-999,-999,10884.56357,176.4223573,2,9850,10125,10225,9850,,,,10225,155,9850,9850,10125,10225,,,,20212.5,10708.14121
156,156,29822,29826,23412,-999,-999,-999,-999,10884.56357,176.4223573,3,9850,10125,10225,,,,,10225,156,9850,10125,10225,,,,,17750,10708.14121
157,157,29822,29826,-999,-999,-999,-999,-999,10884.56357,176.4223573,58,9850,10125,,,,,,10125,157,9850,10125,,,,,,15050,10708.14121
158,158,29822,-999,-999,-999,-999,-999,-999,10884.56357,176.4223573,10,9850,,,,,,,9850,158,9850,,,,,,,9850,10708.14121
159,159,29823,29826,29822,-999,-999,-999,-999,10884.56357,176.4223573,21,9850,10125,9850,,,,,10125,159,9850,9850,10125,,,,,17512.5,10708.14121
160,160,29823,29826,29827,29822,-999,-999,-999,10884.56357,176.4223573,1,9850,10125,11700,9850,,,,11700,160,9850,9850,10125,11700,,,,21687.5,10708.14121
161,161,29823,29826,-999,-999,-999,-999,-999,9981.54125,48.41506849,88,9850,10125,,,,,,10125,161,9850,10125,,,,,,15050,9933.126182
162,162,29823,29827,-999,-999,-999,-999,-999,1039.75,10,6,9850,11700,,,,,,11700,162,9850,11700,,,,,,16625,1029.75
163,163,29823,-999,-999,-999,-999,-999,-999,5902.32,32.70526316,19,9850,,,,,,,9850,163,9850,,,,,,,9850,5869.614737
164,164,29826,29807,29827,-999,-999,-999,-999,9973.943554,327.863873,2,10125,11700,11700,,,,,11700,164,10125,11700,11700,,,,,20081.25,9646.079681
165,165,29826,29822,29807,-999,-999,-999,-999,9973.943554,327.863873,1,10125,9850,11700,,,,,11700,165,9850,10125,11700,,,,,19225,9646.079681
166,166,29826,29827,29822,-999,-999,-999,-999,5915,0,6,10125,11700,9850,,,,,11700,166,9850,10125,11700,,,,,19225,5915
167,167,29826,29827,29823,-999,-999,-999,-999,9906.18219,332.8097317,8,10125,11700,9850,,,,,11700,167,9850,10125,11700,,,,,19225,9573.372458
168,168,29826,-999,-999,-999,-999,-999,-999,13336.89941,265.5178,50,10125,,,,,,,10125,168,10125,,,,,,,10125,13071.38161
169,169,29827,20680,-999,-999,-999,-999,-999,1039.75,10,1,11700,7025,,,,,,11700,169,7025,11700,,,,,,15212.5,1029.75
170,170,29827,29807,29822,29826,-999,-999,-999,13885.86,17.5,1,11700,11700,9850,10125,,,,11700,170,9850,10125,11700,11700,,,,22543.75,13868.36
171,171,29827,29807,29823,-999,-999,-999,-999,14170.49,23,1,11700,11700,9850,,,,,11700,171,9850,11700,11700,,,,,20012.5,14147.49
172,172,29827,29807,29826,-999,-999,-999,-999,10884.56357,176.4223573,5,11700,11700,10125,,,,,11700,172,10125,11700,11700,,,,,20081.25,10708.14121
173,173,29827,29822,29826,29823,-999,-999,-999,13885.86,17.5,6,11700,9850,10125,9850,,,,11700,173,9850,9850,10125,11700,,,,21687.5,13868.36
174,174,29827,29822,29826,-999,-999,-999,-999,11790.90167,271.5103448,29,11700,9850,10125,,,,,11700,174,9850,10125,11700,,,,,19225,11519.39133
175,175,29827,29822,-999,-999,-999,-999,-999,7131.3,807.08,2,11700,9850,,,,,,11700,175,9850,11700,,,,,,16625,6324.22
176,176,29827,29823,29826,29806,-999,-999,-999,13885.86,17.5,1,11700,9850,10125,11700,,,,11700,176,9850,10125,11700,11700,,,,22543.75,13868.36
177,177,29827,29823,29826,-999,-999,-999,-999,11536.52286,104.3207407,54,11700,9850,10125,,,,,11700,177,9850,10125,11700,,,,,19225,11432.20212
178,178,29827,29826,29807,29823,-999,-999,-999,13885.86,17.5,1,11700,10125,11700,9850,,,,11700,178,9850,10125,11700,11700,,,,22543.75,13868.36
179,179,29827,29826,29807,-999,-999,-999,-999,10884.56357,185.7077446,1,11700,10125,11700,,,,,11700,179,10125,11700,11700,,,,,20081.25,10698.85583
180,180,29827,29826,29822,-999,-999,-999,-999,10717.52875,474.9492857,14,11700,10125,9850,,,,,11700,180,9850,10125,11700,,,,,19225,10242.57946
181,181,29827,29826,29823,-999,-999,-999,-999,9695.538333,155.9614286,21,11700,10125,9850,,,,,11700,181,9850,10125,11700,,,,,19225,9539.576904
182,182,29827,29826,-999,-999,-999,-999,-999,14306.14033,181.1477119,124,11700,10125,,,,,,11700,182,10125,11700,,,,,,16762.5,14124.99262
183,183,29827,-999,-999,-999,-999,-999,-999,11204.61,50.10368421,19,11700,,,,,,,11700,183,11700,,,,,,,11700,11154.50632
